Node1,Node2,Node3,Node4,Weight1,Weight2,Weight3
2031,905,35,2658,1,4,1
1912,1018,4172,1731,1,7,5
2306,2045,1953,3063,1,3,1
4518,4172,3981,3982,5,4,1
3598,5983,35,5933,7,3,1
333,257,29,383,4,5,2
1802,2835,2763,1018,2,4,9
3506,2642,4172,2710,2,8,1
2784,361,3804,5457,1,4,2
257,242,2642,1788,5,2,4
2252,1,35,2378,2,4,1
3514,35,143,380,5,3,1
3462,2028,1860,2125,2,6,2
2470,35,1396,1201,5,2,9
3006,2262,2296,3706,1,5,1
384,1,1363,3966,1,6,1
4119,2296,1810,2030,5,10,1
2680,2682,2028,3013,10,5,3
5125,3828,2642,3231,2,10,1
4393,2642,3630,2942,1,8,7
113,905,4197,2754,1,5,2
882,1386,1396,1499,3,6,4
1619,1810,57,2812,1,3,2
5275,2296,2642,1916,2,3,4
2142,1,33,3649,3,7,6
3146,2642,3389,3916,2,9,1
1986,546,1565,1566,1,3,6
3309,3219,3005,2642,3,1,5
1,1810,2819,4197,3,2,1
1383,882,7,650,3,10,2
4291,1018,2125,5227,6,3,2
697,202,135,355,4,2,1
4452,1810,363,905,2,3,1
3316,2296,4291,3389,2,6,1
3466,1018,4172,4331,1,7,1
4391,2642,3136,2378,2,5,1
134,141,7,650,5,3,2
1396,1334,1585,174,3,2,3
2600,2028,1334,13,1,9,4
2028,1629,1810,1746,2,3,2
1487,1566,1565,120,3,5,1
2642,3219,2296,2612,5,2,1
1470,1396,1565,13,1,6,2
5363,4291,353,1386,4,1,3
4562,905,304,729,1,10,2
2392,1953,905,35,3,2,4
2777,2125,1810,2759,2,4,2
4649,905,1396,882,4,3,6
202,132,7,964,2,10,3
3246,2642,1916,2642,1,4,5
1953,304,2636,2028,8,1,4
1763,1396,4,1656,1,5,3
4518,2942,2028,2491,2,4,3
193,7,1,3417,6,7,2
2252,2067,353,1046,4,1,8
3297,2642,2063,1810,1,6,3
3598,1810,3897,4197,1,8,1
2628,1810,2942,1612,10,8,2
1815,135,1386,204,10,7,1
3854,2642,2897,3518,4,3,2
171,2725,2642,3703,1,3,4
4291,3389,2642,1295,1,9,1
1810,2296,2725,1946,7,3,2
592,1018,2045,1565,4,1,4
935,7,1899,522,10,3,1
4694,4379,2642,1502,7,6,1
2680,1810,2125,592,10,2,1
1316,1018,4291,5480,3,6,1
384,1,1565,4172,1,3,5
1568,1334,3804,3452,1,3,7
5925,1,33,1850,3,7,1
3311,2028,546,3820,3,4,1
1576,1555,1386,786,2,7,3
2194,1386,135,729,3,8,5
4059,3735,2187,1810,8,1,3
550,2642,3642,481,1,3,10
146,4172,2642,146,1,8,3
3465,2125,2626,2125,3,1,2
1565,3451,51,5936,3,2,6
4089,3642,1810,2055,1,10,1
2296,905,4172,4557,7,10,1
905,57,4197,3345,10,2,3
945,35,664,1028,4,1,2
1764,2484,2642,2484,1,5,4
425,1317,35,2663,9,3,1
1243,1162,1,6,2,5,8
4830,4694,1334,3649,2,10,2
1046,60,202,3391,4,3,1
3591,2642,1018,4170,10,8,1
3429,2642,363,1366,5,1,10
1420,1217,1615,4331,5,1,2
1998,2067,1953,2378,3,4,2
823,1352,1735,3572,2,5,3
3327,1810,1396,135,5,1,4
4518,4197,1334,2173,5,1,3
1488,1386,7,593,1,6,4
3038,1953,4266,4267,3,5,3
1731,3897,3828,3980,2,7,1
2063,3598,2642,700,1,10,4
361,546,2028,2725,1,3,9
2400,353,1046,60,1,8,4
4532,353,1,36,1,10,3
363,729,882,178,5,3,10
3204,1565,2045,2318,1,4,6
2018,2725,2296,729,5,6,1
57,1018,905,1585,8,1,2
2642,2110,905,4611,6,2,1
2942,1316,1565,2214,2,5,2
3981,1018,1810,2045,4,3,5
2788,2642,2897,2763,10,3,2
2642,4363,3916,1899,2,7,2
3374,1819,1810,2063,1,9,3
5999,3878,35,3489,8,2,1
4131,4172,4291,5904,2,8,3
4119,1565,1529,905,3,2,8
2943,2642,3429,4788,3,5,7
4570,4197,4833,3545,5,1,6
4631,2942,4291,3828,8,4,1
1517,1899,2067,3451,3,1,3
133,4172,2942,4601,1,4,3
1201,1,21,2,10,6,5
1366,1,3319,1,10,1,5
4365,4291,4611,4559,1,7,2
1479,1386,1,1620,2,8,4
3389,3897,3828,2625,1,7,3
1,144,57,7,5,1,8
5065,1352,1,2,4,10,8
1396,1316,1386,1525,8,5,1
2296,304,2642,3719,4,3,4
3053,35,3804,481,3,1,4
96,2063,2642,3312,1,8,2
4574,4570,4197,2835,2,5,4
4304,2388,7,215,3,2,5
1201,1396,35,5892,9,2,1
3198,2763,1018,104,10,9,1
1693,178,1,61,1,8,5
905,57,1201,1529,10,4,3
4,202,41,1348,8,3,1
4125,4611,4291,4370,1,6,7
4197,3630,2642,3832,3,10,1
3110,1334,1317,1352,1,6,5
2897,2296,425,1317,3,1,9
3675,2642,304,491,7,2,1
1916,2642,3649,1018,5,1,5
2538,1018,2067,2045,3,1,7
3684,2642,1018,4146,3,8,1
5508,1,309,1386,7,2,3
7,57,4172,4291,4,6,8
3767,2942,4172,2125,1,3,8
21,1,4291,4197,8,2,7
900,2045,4291,1832,2,4,5
3143,1018,2642,5398,4,7,1
2642,700,171,937,4,2,3
1396,60,202,1566,8,3,5
3675,2642,2610,3099,7,4,1
3697,2642,3828,4057,4,5,1
1764,4291,2296,2262,3,6,5
3828,4172,2642,242,5,8,1
537,1366,1,144,1,10,5
215,202,2296,5056,6,1,3
2977,2642,1018,1731,2,8,6
1217,905,4172,2934,1,10,6
2711,1,4559,57,10,1,2
3208,2388,4291,3649,3,5,8
2492,2028,2296,3054,7,1,3
4197,5655,1953,2975,3,9,1
1555,1487,1386,1846,1,5,8
3724,2642,1620,1,5,2,5
1018,3981,4172,2552,2,6,3
1899,7,4,537,6,4,1
2796,2028,2388,4532,6,1,2
1396,2063,2028,2821,2,8,5
2763,2028,1,1620,5,7,4
1201,1566,353,1,8,1,10
2067,4172,1334,1555,6,2,4
775,1217,35,3631,9,5,1
57,4833,2642,3894,5,4,3
4122,3735,1018,3355,5,2,6
491,13,1921,1521,3,5,2
484,304,546,1438,10,1,3
3451,3892,4172,2934,2,7,6
10,6,1,1815,7,8,2
2880,1317,1,2046,2,7,4
4569,3976,1334,3719,3,1,8
7,23,1,7,4,7,9
3598,1018,3223,2642,7,1,6
5317,1352,1317,309,7,3,4
1819,304,1953,2910,6,8,1
353,13,35,4820,6,3,1
3113,2125,2942,4515,3,2,10
3903,1810,2642,3612,10,2,4
3892,4172,546,2397,7,1,2
2200,1620,1018,2291,10,1,6
3572,1690,1317,1162,10,5,2
4270,4172,3878,5440,5,2,3
4659,1334,3107,3595,10,2,5
1712,1566,1201,1747,5,8,4
1810,57,1018,4960,3,8,7
481,1810,1565,3897,6,2,5
2688,2028,2173,2607,10,4,1
3598,4172,2642,4336,3,8,3
1634,1386,1396,1201,2,6,9
2462,2028,2125,4140,4,8,1
1832,1810,1,223,1,4,7
2,1,1217,997,8,1,8
2252,2067,1,353,4,1,5
881,7,6,537,2,3,5
7,132,1,1701,5,10,5
4,425,1386,167,5,9,3
64,882,1383,1386,1,4,9
2491,2028,1018,2958,7,8,1
212,60,7,152,4,7,2
425,1,1386,1486,10,5,1
2642,3897,3828,2063,5,7,1
2825,2635,1953,2913,8,5,3
2303,1,1352,1693,5,3,4
729,1731,4172,3725,4,5,3
2942,1565,1620,2200,2,3,10
4392,3389,2642,2476,1,9,2
481,4291,4172,4107,1,8,10
2470,35,1201,1268,5,3,6
2072,2296,1363,245,2,10,8
5132,5046,2642,3113,10,3,5
3613,2642,1018,17,6,8,2
5529,4515,2942,57,4,10,3
2388,35,1615,25,9,1,3
3719,4370,4172,2934,2,4,6
3297,2642,4833,4694,1,4,8
4322,3129,2903,3898,10,1,7
2725,2795,2028,1899,4,1,7
4002,35,775,1217,7,2,9
2647,2028,1334,2897,2,9,2
1502,4172,3892,4172,1,5,7
1584,1555,1386,1566,1,7,8
1396,2063,2028,2943,2,8,2
4098,3723,2642,3506,10,6,3
3032,2028,2642,3101,7,5,2
1565,1810,2625,2040,2,3,6
1383,1386,1334,1693,9,1,2
3820,4172,2472,2067,4,1,10
361,2388,35,2252,1,9,5
4118,1018,4172,2067,3,7,4
1819,1860,1899,304,2,5,10
1492,1217,775,1425,2,9,3
2628,1543,1899,1810,10,1,4
5983,3451,4197,4611,3,4,3
3675,2642,2625,3113,7,1,5
4172,57,1396,57,6,5,2
3759,2934,4291,3897,10,2,10
2124,1,10,25,6,7,10
2204,2028,1731,2067,5,7,10
1201,1316,7,80,8,2,3
1369,1386,1,7,1,8,9
134,7,202,235,3,4,6
1612,4172,3649,3429,3,4,8
481,1810,592,469,6,5,1
3609,2642,905,1565,3,1,6
2943,2125,1,304,6,5,3
3617,35,905,3719,1,5,10
5418,1,7,188,4,9,1
823,1352,1,270,2,10,5
1,1396,149,1201,4,2,4
1690,1,1363,159,10,6,1
1860,2028,1018,4247,7,8,3
314,7,60,242,4,5,6
1383,1,35,2775,9,4,1
2302,35,905,729,3,5,4
2625,3223,2642,3611,8,6,3
3719,2642,2063,2306,4,6,1
353,905,1316,1,2,10,7
475,540,4291,2942,4,1,6
3892,4172,2472,2067,7,1,10
4172,1555,7,1053,8,1,5
280,3630,3669,1675,3,6,3
3113,2642,2388,3545,6,1,6
2901,2028,3366,3804,3,7,2
963,7,202,134,7,4,2
2230,1656,1,47,3,9,3
2085,1543,1529,4172,5,3,5
3722,1810,1896,1771,3,1,10
4806,4611,4163,1689,10,1,10
4402,905,2045,33,2,3,9
3465,4172,2125,2396,4,8,2
1654,35,1217,3377,1,4,10
21,60,7,330,5,7,5
2642,1018,4291,1802,8,6,1
2491,2028,1802,2271,7,5,1
3722,1,1386,425,2,5,9
1018,2942,2642,3302,6,4,3
620,7,1,1316,2,7,5
1803,2028,3366,2296,3,7,10
1615,2313,988,2313,1,10,8
3642,3223,2642,3389,1,6,9
5227,540,2028,1334,1,10,9
1802,2028,363,1018,4,3,8
1201,1396,1,2067,9,8,1
1317,1316,1615,1,5,3,9
3366,1,35,3172,10,4,2
1689,3988,1810,2296,2,3,7
5609,4649,3429,5449,9,7,2
125,1,7,210,5,9,1
2777,2028,3366,2296,1,7,10
3744,493,13,1555,10,3,4
1896,1953,4172,3986,3,8,2
240,206,202,144,2,3,8
1644,35,1352,1,5,2,10
1810,135,1,33,5,1,7
6,1,7,210,8,9,1
1352,41,7,240,3,9,2
2028,7,2388,1363,3,2,9
1396,1566,57,2812,8,3,2
2642,1612,1383,1217,4,5,7
1396,60,7,419,8,7,3
2846,2028,1334,361,3,9,10
2087,35,1386,1566,10,2,8
1832,2067,4172,3345,4,6,2
3828,3429,2642,4172,4,5,8
1018,2642,3828,1018,7,5,4
1860,1201,1,494,4,10,1
1585,1911,1810,3185,1,7,4
3000,3897,3630,2642,1,9,10
3143,1018,3219,2725,4,9,4
468,1383,7,1053,2,9,5
3000,540,2028,1018,3,10,8
2404,4172,2642,2063,3,8,6
1565,1018,2642,2050,3,7,3
2367,2067,4291,3781,7,4,3
2016,1585,1386,425,4,2,9
2725,905,3897,4499,3,10,4
2441,2028,3107,1018,1,5,6
1555,1334,1832,1899,4,9,3
1396,1386,1352,2053,8,5,2
180,1,7,62,1,9,6
3649,3429,2835,1947,8,7,1
3229,2125,1670,304,6,1,5
5983,35,1437,3834,3,10,3
19,1,35,3208,9,4,2
3646,3828,3897,3630,2,7,9
3385,1018,4291,4172,2,6,8
257,425,1317,2032,6,9,1
266,60,257,369,5,10,4
6,35,1201,1,4,3,10
